Fixed Point: 00000000000000000000000000000000 | Rounds: 8 | Key: 78787878787878787878787878787878
Fixed Point: 01010101010101010101010101010101 | Rounds: 21 | Key: 78787878787878787878787878787878
Fixed Point: 02020202020202020202020202020202 | Rounds: 13 | Key: 78787878787878787878787878787878
Fixed Point: fd5fdd02fd5fdd02fd5fdd02fd5fdd02 | Rounds: 16 | Key: 78787878787878787878787878787878
Fixed Point: 03030303030303030303030303030303 | Rounds: 1 | Key: 78787878787878787878787878787878
Fixed Point: 04040404040404040404040404040404 | Rounds: 21 | Key: 78787878787878787878787878787878
Fixed Point: f1aa3804f1aa3804f1aa3804f1aa3804 | Rounds: 16 | Key: 78787878787878787878787878787878
Fixed Point: 05050505050505050505050505050505 | Rounds: 2 | Key: 78787878787878787878787878787878
Fixed Point: 06060606060606060606060606060606 | Rounds: 21 | Key: 78787878787878787878787878787878
Fixed Point: 07070707070707070707070707070707 | Rounds: 13 | Key: 78787878787878787878787878787878
Fixed Point: 09090909090909090909090909090909 | Rounds: 30 | Key: 78787878787878787878787878787878
Fixed Point: 0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a | Rounds: 13 | Key: 78787878787878787878787878787878
Fixed Point: 410b410b410b410b410b410b410b410b | Rounds: 4 | Key: 78787878787878787878787878787878
Fixed Point: 0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d | Rounds: 21 | Key: 78787878787878787878787878787878
Fixed Point: 0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e | Rounds: 13 | Key: 78787878787878787878787878787878
Fixed Point: 0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f | Rounds: 13 | Key: 78787878787878787878787878787878
Fixed Point: fc11fc11fc11fc11fc11fc11fc11fc11 | Rounds: 14 | Key: 78787878787878787878787878787878
Fixed Point: 13131313131313131313131313131313 | Rounds: 2 | Key: 78787878787878787878787878787878
Fixed Point: 14141414141414141414141414141414 | Rounds: 13 | Key: 78787878787878787878787878787878
Fixed Point: 16161616161616161616161616161616 | Rounds: 21 | Key: 78787878787878787878787878787878
Fixed Point: ae16ae16ae16ae16ae16ae16ae16ae16 | Rounds: 9 | Key: 78787878787878787878787878787878
Fixed Point: cb16cb16cb16cb16cb16cb16cb16cb16 | Rounds: 28 | Key: 78787878787878787878787878787878
Fixed Point: 17171717171717171717171717171717 | Rounds: 21 | Key: 78787878787878787878787878787878
Fixed Point: 2c182c182c182c182c182c182c182c18 | Rounds: 9 | Key: 78787878787878787878787878787878
Fixed Point: b018b018b018b018b018b018b018b018 | Rounds: 4 | Key: 78787878787878787878787878787878
Fixed Point: 19191919191919191919191919191919 | Rounds: 30 | Key: 78787878787878787878787878787878
Fixed Point: 1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b | Rounds: 8 | Key: 78787878787878787878787878787878
Fixed Point: 1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d | Rounds: 21 | Key: 78787878787878787878787878787878
