Fixed Point: c9803731c9803731c9803731c9803731 | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 27076731270767312707673127076731 | Rounds: 4 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 047ef531047ef531047ef531047ef531 | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 3d343d343d343d343d343d343d343d34 | Rounds: 22 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 37373737373737373737373737373737 | Rounds: 21 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 3d373d373d373d373d373d373d373d37 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 31c9803731c9803731c9803731c98037 | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: a837a837a837a837a837a837a837a837 | Rounds: 9 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 69396939693969396939693969396939 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 623a623a623a623a623a623a623a623a | Rounds: 22 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 89e1843a89e1843a89e1843a89e1843a | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: bb3abb3abb3abb3abb3abb3abb3abb3a | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: e6724e3be6724e3be6724e3be6724e3b | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: f2e6663bf2e6663bf2e6663bf2e6663b | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 343d343d343d343d343d343d343d343d | Rounds: 22 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 373d373d373d373d373d373d373d373d | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 1b3e1b3e1b3e1b3e1b3e1b3e1b3e1b3e | Rounds: 9 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e | Rounds: 21 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: d6e7da3ed6e7da3ed6e7da3ed6e7da3e | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: f040f040f040f040f040f040f040f040 | Rounds: 9 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: f5a29641f5a29641f5a29641f5a29641 | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 42424242424242424242424242424242 | Rounds: 21 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 4dd692424dd692424dd692424dd69242 | Rounds: 4 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: c045c045c045c045c045c045c045c045 | Rounds: 9 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 75e1d24575e1d24575e1d24575e1d245 | Rounds: 18 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: a348a348a348a348a348a348a348a348 | Rounds: 22 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: c548c548c548c548c548c548c548c548 | Rounds: 22 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: f849f849f849f849f849f849f849f849 | Rounds: 30 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
Fixed Point: 5179534a5179534a5179534a5179534a | Rounds: 15 | Key: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8
