Fixed Point: 352c4531352c4531352c4531352c4531 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 5e315e315e315e315e315e315e315e31 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 84318431843184318431843184318431 | Rounds: 28 | Key: 90909090909090909090909090909090
Fixed Point: c143d131c143d131c143d131c143d131 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: fa31fa31fa31fa31fa31fa31fa31fa31 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 044b2034044b2034044b2034044b2034 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 46344634463446344634463446344634 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 7f80d9347f80d9347f80d9347f80d934 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 2c4531352c4531352c4531352c453135 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 15e3433515e3433515e3433515e34335 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: 8afcc4358afcc4358afcc4358afcc435 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 4e84cd354e84cd354e84cd354e84cd35 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 6ea722366ea722366ea722366ea72236 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 8e388e388e388e388e388e388e388e38 | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: ef3aef3aef3aef3aef3aef3aef3aef3a | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: 033b033b033b033b033b033b033b033b | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: 099b133b099b133b099b133b099b133b | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: e1bc153de1bc153de1bc153de1bc153d | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 5c3d5c3d5c3d5c3d5c3d5c3d5c3d5c3d | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e | Rounds: 15 | Key: 90909090909090909090909090909090
Fixed Point: b9ac4f3eb9ac4f3eb9ac4f3eb9ac4f3e | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 86418641864186418641864186418641 | Rounds: 2 | Key: 90909090909090909090909090909090
Fixed Point: b042b042b042b042b042b042b042b042 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 2531dc422531dc422531dc422531dc42 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 91052743910527439105274391052743 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: a5c78d43a5c78d43a5c78d43a5c78d43 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: d131c143d131c143d131c143d131c143 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: 3515e3433515e3433515e3433515e343 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: ec44ec44ec44ec44ec44ec44ec44ec44 | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: 31352c4531352c4531352c4531352c45 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 34463446344634463446344634463446 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: e246e246e246e246e246e246e246e246 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 9d534d479d534d479d534d479d534d47 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: c42f5048c42f5048c42f5048c42f5048 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: 9c9e66499c9e66499c9e66499c9e6649 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 7090674a7090674a7090674a7090674a | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: 2034044b2034044b2034044b2034044b | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 124d124d124d124d124d124d124d124d | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d | Rounds: 15 | Key: 90909090909090909090909090909090
Fixed Point: 479d534d479d534d479d534d479d534d | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: 9f4d9f4d9f4d9f4d9f4d9f4d9f4d9f4d | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: 0c4e0c4e0c4e0c4e0c4e0c4e0c4e0c4e | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 84cd354e84cd354e84cd354e84cd354e | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: ea90f24eea90f24eea90f24eea90f24e | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: 3eb9ac4f3eb9ac4f3eb9ac4f3eb9ac4f | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: b44fb44fb44fb44fb44fb44fb44fb44f | Rounds: 28 | Key: 90909090909090909090909090909090
Fixed Point: 12501250125012501250125012501250 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 48c42f5048c42f5048c42f5048c42f50 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: 50505050505050505050505050505050 | Rounds: 15 | Key: 90909090909090909090909090909090
Fixed Point: 73507350735073507350735073507350 | Rounds: 28 | Key: 90909090909090909090909090909090
Fixed Point: 4d479d534d479d534d479d534d479d53 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: 97559755975597559755975597559755 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 9601c9569601c9569601c9569601c956 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: 0a590a590a590a590a590a590a590a59 | Rounds: 28 | Key: 90909090909090909090909090909090
Fixed Point: dca9b759dca9b759dca9b759dca9b759 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: 9ac9715a9ac9715a9ac9715a9ac9715a | Rounds: 1 | Key: 90909090909090909090909090909090
Fixed Point: c25bc25bc25bc25bc25bc25bc25bc25b | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: 111c235c111c235c111c235c111c235c | Rounds: 4 | Key: 90909090909090909090909090909090
Fixed Point: 3d5c3d5c3d5c3d5c3d5c3d5c3d5c3d5c | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 7d5d7d5d7d5d7d5d7d5d7d5d7d5d7d5d | Rounds: 28 | Key: 90909090909090909090909090909090
Fixed Point: 315e315e315e315e315e315e315e315e | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f | Rounds: 1 | Key: 90909090909090909090909090909090
Fixed Point: a95fa95fa95fa95fa95fa95fa95fa95f | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: bc60bc60bc60bc60bc60bc60bc60bc60 | Rounds: 28 | Key: 90909090909090909090909090909090
Fixed Point: efc71c61efc71c61efc71c61efc71c61 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: e76d8f64e76d8f64e76d8f64e76d8f64 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 16221066162210661622106616221066 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 499c9e66499c9e66499c9e66499c9e66 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: a066a066a066a066a066a066a066a066 | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: 67676767676767676767676767676767 | Rounds: 15 | Key: 90909090909090909090909090909090
Fixed Point: 7b677b677b677b677b677b677b677b67 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 4a7090674a7090674a7090674a709067 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: a867a867a867a867a867a867a867a867 | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: b967b967b967b967b967b967b967b967 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 69696969696969696969696969696969 | Rounds: 1 | Key: 90909090909090909090909090909090
Fixed Point: 716a716a716a716a716a716a716a716a | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: cb6acb6acb6acb6acb6acb6acb6acb6a | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 7c6b7c6b7c6b7c6b7c6b7c6b7c6b7c6b | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 8f6c8f6c8f6c8f6c8f6c8f6c8f6c8f6c | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 2299b36c2299b36c2299b36c2299b36c | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: b5aee46cb5aee46cb5aee46cb5aee46c | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: e66ce66ce66ce66ce66ce66ce66ce66c | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 006d006d006d006d006d006d006d006d | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 066d066d066d066d066d066d066d066d | Rounds: 28 | Key: 90909090909090909090909090909090
Fixed Point: 8f64e76d8f64e76d8f64e76d8f64e76d | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: a722366ea722366ea722366ea722366e | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: d6f1aa6ed6f1aa6ed6f1aa6ed6f1aa6e | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: b26eb26eb26eb26eb26eb26eb26eb26e | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: 90674a7090674a7090674a7090674a70 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: 6a716a716a716a716a716a716a716a71 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 5a9ac9715a9ac9715a9ac9715a9ac971 | Rounds: 1 | Key: 90909090909090909090909090909090
Fixed Point: 0b720b720b720b720b720b720b720b72 | Rounds: 28 | Key: 90909090909090909090909090909090
Fixed Point: 98729872987298729872987298729872 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: a172a172a172a172a172a172a172a172 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: ed72ed72ed72ed72ed72ed72ed72ed72 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 50735073507350735073507350735073 | Rounds: 28 | Key: 90909090909090909090909090909090
Fixed Point: 73737373737373737373737373737373 | Rounds: 15 | Key: 90909090909090909090909090909090
Fixed Point: db7caf74db7caf74db7caf74db7caf74 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 17888075178880751788807517888075 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: ec76ec76ec76ec76ec76ec76ec76ec76 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 8ca1ec778ca1ec778ca1ec778ca1ec77 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 0fb583780fb583780fb583780fb58378 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: 79797979797979797979797979797979 | Rounds: 15 | Key: 90909090909090909090909090909090
Fixed Point: 7ae6d6797ae6d6797ae6d6797ae6d679 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: e6d6797ae6d6797ae6d6797ae6d6797a | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 677b677b677b677b677b677b677b677b | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: a87ba87ba87ba87ba87ba87ba87ba87b | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 6b7c6b7c6b7c6b7c6b7c6b7c6b7c6b7c | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: af74db7caf74db7caf74db7caf74db7c | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: e47ce47ce47ce47ce47ce47ce47ce47c | Rounds: 28 | Key: 90909090909090909090909090909090
Fixed Point: 83d92f7d83d92f7d83d92f7d83d92f7d | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 5d7d5d7d5d7d5d7d5d7d5d7d5d7d5d7d | Rounds: 28 | Key: 90909090909090909090909090909090
Fixed Point: af7eaf7eaf7eaf7eaf7eaf7eaf7eaf7e | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 80d9347f80d9347f80d9347f80d9347f | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: d9347f80d9347f80d9347f80d9347f80 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 75178880751788807517888075178880 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: caf68b80caf68b80caf68b80caf68b80 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: d92f7d83d92f7d83d92f7d83d92f7d83 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 780fb583780fb583780fb583780fb583 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: 31843184318431843184318431843184 | Rounds: 28 | Key: 90909090909090909090909090909090
Fixed Point: cd354e84cd354e84cd354e84cd354e84 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: f084f084f084f084f084f084f084f084 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 41864186418641864186418641864186 | Rounds: 2 | Key: 90909090909090909090909090909090
Fixed Point: a586a586a586a586a586a586a586a586 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 0bc816870bc816870bc816870bc81687 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 30873087308730873087308730873087 | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: 87878787878787878787878787878787 | Rounds: 1 | Key: 90909090909090909090909090909090
Fixed Point: 80751788807517888075178880751788 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 2d27c7892d27c7892d27c7892d27c789 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: d889d889d889d889d889d889d889d889 | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: 00a2da8900a2da8900a2da8900a2da89 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: fcc4358afcc4358afcc4358afcc4358a | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 80caf68b80caf68b80caf68b80caf68b | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: 1fc8088c1fc8088c1fc8088c1fc8088c | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: a1ec778ca1ec778ca1ec778ca1ec778c | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: a90ec58ca90ec58ca90ec58ca90ec58c | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 918d918d918d918d918d918d918d918d | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: 43a5c78d43a5c78d43a5c78d43a5c78d | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 388e388e388e388e388e388e388e388e | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: 6c8f6c8f6c8f6c8f6c8f6c8f6c8f6c8f | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 64e76d8f64e76d8f64e76d8f64e76d8f | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 674a7090674a7090674a7090674a7090 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: f24eea90f24eea90f24eea90f24eea90 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: 05274391052743910527439105274391 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: 8d918d918d918d918d918d918d918d91 | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: f9bb9d91f9bb9d91f9bb9d91f9bb9d91 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: d79be292d79be292d79be292d79be292 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: 0de8d9950de8d9950de8d9950de8d995 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 01c9569601c9569601c9569601c95696 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: 55975597559755975597559755975597 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 72987298729872987298729872987298 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: b36c2299b36c2299b36c2299b36c2299 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: c9715a9ac9715a9ac9715a9ac9715a9a | Rounds: 1 | Key: 90909090909090909090909090909090
Fixed Point: 133b099b133b099b133b099b133b099b | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: e292d79be292d79be292d79be292d79b | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: dc9bdc9bdc9bdc9bdc9bdc9bdc9bdc9b | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: 9e66499c9e66499c9e66499c9e66499c | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 534d479d534d479d534d479d534d479d | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: 91f9bb9d91f9bb9d91f9bb9d91f9bb9d | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 66499c9e66499c9e66499c9e66499c9e | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 4d9f4d9f4d9f4d9f4d9f4d9f4d9f4d9f | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: 66a066a066a066a066a066a066a066a0 | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: 12a112a112a112a112a112a112a112a1 | Rounds: 28 | Key: 90909090909090909090909090909090
Fixed Point: 72a172a172a172a172a172a172a172a1 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: ec778ca1ec778ca1ec778ca1ec778ca1 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: b2a1b2a1b2a1b2a1b2a1b2a1b2a1b2a1 | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: da8900a2da8900a2da8900a2da8900a2 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: c78d43a5c78d43a5c78d43a5c78d43a5 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 86a586a586a586a586a586a586a586a5 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 22366ea722366ea722366ea722366ea7 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 67a867a867a867a867a867a867a867a8 | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: 7ba87ba87ba87ba87ba87ba87ba87ba8 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: ada8ada8ada8ada8ada8ada8ada8ada8 | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: b5a8b5a8b5a8b5a8b5a8b5a8b5a8b5a8 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 5fa95fa95fa95fa95fa95fa95fa95fa9 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 0ec58ca90ec58ca90ec58ca90ec58ca9 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: b759dca9b759dca9b759dca9b759dca9 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: 1bfed7aa1bfed7aa1bfed7aa1bfed7aa | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 6ed6f1aa6ed6f1aa6ed6f1aa6ed6f1aa | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: b5abb5abb5abb5abb5abb5abb5abb5ab | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: e4abe4abe4abe4abe4abe4abe4abe4ab | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: fcabfcabfcabfcabfcabfcabfcabfcab | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: 4f3eb9ac4f3eb9ac4f3eb9ac4f3eb9ac | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: a8ada8ada8ada8ada8ada8ada8ada8ad | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: e46cb5aee46cb5aee46cb5aee46cb5ae | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: f1aef1aef1aef1aef1aef1aef1aef1ae | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: 74db7caf74db7caf74db7caf74db7caf | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 7eaf7eaf7eaf7eaf7eaf7eaf7eaf7eaf | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 42b042b042b042b042b042b042b042b0 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: 6eb26eb26eb26eb26eb26eb26eb26eb2 | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: a1b2a1b2a1b2a1b2a1b2a1b2a1b2a1b2 | Rounds: 23 | Key: 90909090909090909090909090909090
Fixed Point: 6c2299b36c2299b36c2299b36c2299b3 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: 18b418b418b418b418b418b418b418b4 | Rounds: 28 | Key: 90909090909090909090909090909090
Fixed Point: 4fb44fb44fb44fb44fb44fb44fb44fb4 | Rounds: 28 | Key: 90909090909090909090909090909090
Fixed Point: 83780fb583780fb583780fb583780fb5 | Rounds: 48 | Key: 90909090909090909090909090909090
Fixed Point: aee46cb5aee46cb5aee46cb5aee46cb5 | Rounds: 33 | Key: 90909090909090909090909090909090
Fixed Point: a8b5a8b5a8b5a8b5a8b5a8b5a8b5a8b5 | Rounds: 32 | Key: 90909090909090909090909090909090
Fixed Point: abb5abb5abb5abb5abb5abb5abb5abb5 | Rounds: 23 | Key: 90909090909090909090909090909090
