Fixed Point: 51010c6051010c6051010c6051010c60 | Rounds: 50 | Key: 60606060606060606060606060606060
Fixed Point: 63636363636363636363636363636363 | Rounds: 49 | Key: 60606060606060606060606060606060
Fixed Point: be177463be177463be177463be177463 | Rounds: 15 | Key: 60606060606060606060606060606060
Fixed Point: cb63cb63cb63cb63cb63cb63cb63cb63 | Rounds: 24 | Key: 60606060606060606060606060606060
Fixed Point: 6c2aec666c2aec666c2aec666c2aec66 | Rounds: 23 | Key: 60606060606060606060606060606060
Fixed Point: fc68fc68fc68fc68fc68fc68fc68fc68 | Rounds: 28 | Key: 60606060606060606060606060606060
Fixed Point: 2aec666c2aec666c2aec666c2aec666c | Rounds: 23 | Key: 60606060606060606060606060606060
Fixed Point: 6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d | Rounds: 28 | Key: 60606060606060606060606060606060
Fixed Point: d9334d70d9334d70d9334d70d9334d70 | Rounds: 15 | Key: 60606060606060606060606060606060
Fixed Point: 73e89d7273e89d7273e89d7273e89d72 | Rounds: 20 | Key: 60606060606060606060606060606060
Fixed Point: e89d7273e89d7273e89d7273e89d7273 | Rounds: 20 | Key: 60606060606060606060606060606060
Fixed Point: 63be177463be177463be177463be1774 | Rounds: 15 | Key: 60606060606060606060606060606060
Fixed Point: 75757575757575757575757575757575 | Rounds: 27 | Key: 60606060606060606060606060606060
Fixed Point: cc77cc77cc77cc77cc77cc77cc77cc77 | Rounds: 35 | Key: 60606060606060606060606060606060
Fixed Point: 15084378150843781508437815084378 | Rounds: 46 | Key: 60606060606060606060606060606060
Fixed Point: 7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b | Rounds: 18 | Key: 60606060606060606060606060606060
Fixed Point: 235a8e7c235a8e7c235a8e7c235a8e7c | Rounds: 13 | Key: 60606060606060606060606060606060
Fixed Point: dd7cdd7cdd7cdd7cdd7cdd7cdd7cdd7c | Rounds: 10 | Key: 60606060606060606060606060606060
Fixed Point: d4fa4188d4fa4188d4fa4188d4fa4188 | Rounds: 18 | Key: 60606060606060606060606060606060
Fixed Point: 88888888888888888888888888888888 | Rounds: 4 | Key: 60606060606060606060606060606060
Fixed Point: 9ad7c5889ad7c5889ad7c5889ad7c588 | Rounds: 37 | Key: 60606060606060606060606060606060
Fixed Point: 358a358a358a358a358a358a358a358a | Rounds: 23 | Key: 60606060606060606060606060606060
Fixed Point: e78ae78ae78ae78ae78ae78ae78ae78a | Rounds: 41 | Key: 60606060606060606060606060606060
Fixed Point: 5e8b5e8b5e8b5e8b5e8b5e8b5e8b5e8b | Rounds: 26 | Key: 60606060606060606060606060606060
Fixed Point: 8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b | Rounds: 24 | Key: 60606060606060606060606060606060
Fixed Point: 8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c | Rounds: 27 | Key: 60606060606060606060606060606060
Fixed Point: f412358df412358df412358df412358d | Rounds: 18 | Key: 60606060606060606060606060606060
Fixed Point: 7c235a8e7c235a8e7c235a8e7c235a8e | Rounds: 13 | Key: 60606060606060606060606060606060
Fixed Point: 5eac5f925eac5f925eac5f925eac5f92 | Rounds: 43 | Key: 60606060606060606060606060606060
Fixed Point: 464cde93464cde93464cde93464cde93 | Rounds: 42 | Key: 60606060606060606060606060606060
Fixed Point: f395f395f395f395f395f395f395f395 | Rounds: 5 | Key: 60606060606060606060606060606060
Fixed Point: 5c965c965c965c965c965c965c965c96 | Rounds: 26 | Key: 60606060606060606060606060606060
Fixed Point: 96969696969696969696969696969696 | Rounds: 49 | Key: 60606060606060606060606060606060
Fixed Point: 97979797979797979797979797979797 | Rounds: 23 | Key: 60606060606060606060606060606060
Fixed Point: d7c5889ad7c5889ad7c5889ad7c5889a | Rounds: 37 | Key: 60606060606060606060606060606060
Fixed Point: 7273e89d7273e89d7273e89d7273e89d | Rounds: 20 | Key: 60606060606060606060606060606060
Fixed Point: 14a014a014a014a014a014a014a014a0 | Rounds: 40 | Key: 60606060606060606060606060606060
Fixed Point: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1 | Rounds: 4 | Key: 60606060606060606060606060606060
Fixed Point: b3a1b3a1b3a1b3a1b3a1b3a1b3a1b3a1 | Rounds: 33 | Key: 60606060606060606060606060606060
Fixed Point: a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5 | Rounds: 28 | Key: 60606060606060606060606060606060
Fixed Point: 36a636a636a636a636a636a636a636a6 | Rounds: 19 | Key: 60606060606060606060606060606060
Fixed Point: a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7 | Rounds: 20 | Key: 60606060606060606060606060606060
Fixed Point: aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa | Rounds: 9 | Key: 60606060606060606060606060606060
