Fixed Point: 116b116b116b116b116b116b116b116b | Rounds: 26 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 8e6f8e6f8e6f8e6f8e6f8e6f8e6f8e6f | Rounds: 4 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 704d906f704d906f704d906f704d906f | Rounds: 13 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 4d906f704d906f704d906f704d906f70 | Rounds: 13 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 66726672667266726672667266726672 | Rounds: 42 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: e3335173e3335173e3335173e3335173 | Rounds: 12 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 46ae8e7646ae8e7646ae8e7646ae8e76 | Rounds: 27 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 381bff79381bff79381bff79381bff79 | Rounds: 6 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: aa7daa7daa7daa7daa7daa7daa7daa7d | Rounds: 13 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e | Rounds: 11 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f | Rounds: 4 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 87878787878787878787878787878787 | Rounds: 42 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b | Rounds: 10 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 6f8e6f8e6f8e6f8e6f8e6f8e6f8e6f8e | Rounds: 4 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 7646ae8e7646ae8e7646ae8e7646ae8e | Rounds: 27 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f | Rounds: 38 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 6f704d906f704d906f704d906f704d90 | Rounds: 13 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 3a913a913a913a913a913a913a913a91 | Rounds: 8 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 93919391939193919391939193919391 | Rounds: 14 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 91939193919391939193919391939193 | Rounds: 14 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 95959595959595959595959595959595 | Rounds: 10 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 9996d9959996d9959996d9959996d995 | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: d9959996d9959996d9959996d9959996 | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 96d9959996d9959996d9959996d99599 | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 0b9a0b9a0b9a0b9a0b9a0b9a0b9a0b9a | Rounds: 20 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b | Rounds: 22 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 27a027a027a027a027a027a027a027a0 | Rounds: 34 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: f3a5f3a5f3a5f3a5f3a5f3a5f3a5f3a5 | Rounds: 8 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9 | Rounds: 17 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 7daa7daa7daa7daa7daa7daa7daa7daa | Rounds: 13 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 07d8daab07d8daab07d8daab07d8daab | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: adadadadadadadadadadadadadadadad | Rounds: 12 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 3c51c9ad3c51c9ad3c51c9ad3c51c9ad | Rounds: 17 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 8e7646ae8e7646ae8e7646ae8e7646ae | Rounds: 27 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: afafafafafafafafafafafafafafafaf | Rounds: 17 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: d2b0d2b0d2b0d2b0d2b0d2b0d2b0d2b0 | Rounds: 24 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3 | Rounds: 40 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: eeb4eeb4eeb4eeb4eeb4eeb4eeb4eeb4 | Rounds: 32 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7b7 | Rounds: 46 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: dab8dab8dab8dab8dab8dab8dab8dab8 | Rounds: 42 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb | Rounds: 27 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: bfbfbfbfbfbfbfbfbfbfbfbfbfbfbfbf | Rounds: 12 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: fcc2fcc2fcc2fcc2fcc2fcc2fcc2fcc2 | Rounds: 10 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3 | Rounds: 21 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: ad3c51c9ad3c51c9ad3c51c9ad3c51c9 | Rounds: 17 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: cbcbcbcbcbcbcbcbcbcbcbcbcbcbcbcb | Rounds: 7 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: f81e34d2f81e34d2f81e34d2f81e34d2 | Rounds: 26 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: b0d2b0d2b0d2b0d2b0d2b0d2b0d2b0d2 | Rounds: 24 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5 | Rounds: 6 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: ded6ded6ded6ded6ded6ded6ded6ded6 | Rounds: 36 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 29d729d729d729d729d729d729d729d7 | Rounds: 36 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: daab07d8daab07d8daab07d8daab07d8 | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 959996d9959996d9959996d9959996d9 | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: b8dab8dab8dab8dab8dab8dab8dab8da | Rounds: 42 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: ab07d8daab07d8daab07d8daab07d8da | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: dddddddddddddddddddddddddddddddd | Rounds: 10 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: eaddeaddeaddeaddeaddeaddeaddeadd | Rounds: 43 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: d6ded6ded6ded6ded6ded6ded6ded6de | Rounds: 36 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: e3dfe3dfe3dfe3dfe3dfe3dfe3dfe3df | Rounds: 37 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 335173e3335173e3335173e3335173e3 | Rounds: 12 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: dfe3dfe3dfe3dfe3dfe3dfe3dfe3dfe3 | Rounds: 37 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4 | Rounds: 5 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 03e603e603e603e603e603e603e603e6 | Rounds: 24 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: ddeaddeaddeaddeaddeaddeaddeaddea | Rounds: 43 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: edededededededededededededededed | Rounds: 24 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: b4eeb4eeb4eeb4eeb4eeb4eeb4eeb4ee | Rounds: 32 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee | Rounds: 6 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: a5f3a5f3a5f3a5f3a5f3a5f3a5f3a5f3 | Rounds: 8 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3 | Rounds: 10 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 1e34d2f81e34d2f81e34d2f81e34d2f8 | Rounds: 26 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
