Fixed Point: 29292929292929292929292929292929 | Rounds: 22 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 842b842b842b842b842b842b842b842b | Rounds: 50 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: f62bf62bf62bf62bf62bf62bf62bf62b | Rounds: 11 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: d52dd52dd52dd52dd52dd52dd52dd52d | Rounds: 50 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 7f2e7f2e7f2e7f2e7f2e7f2e7f2e7f2e | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: d42ed42ed42ed42ed42ed42ed42ed42e | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 862f862f862f862f862f862f862f862f | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: a22fa22fa22fa22fa22fa22fa22fa22f | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: b42fb42fb42fb42fb42fb42fb42fb42f | Rounds: 11 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: d030d030d030d030d030d030d030d030 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 31313131313131313131313131313131 | Rounds: 21 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 33323332333233323332333233323332 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 52325232523252325232523252325232 | Rounds: 8 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 4d7669324d7669324d7669324d766932 | Rounds: 4 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 5180c9325180c9325180c9325180c932 | Rounds: 4 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: df32df32df32df32df32df32df32df32 | Rounds: 20 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 32333233323332333233323332333233 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 33333333333333333333333333333333 | Rounds: 21 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 51345134513451345134513451345134 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 996b9534996b9534996b9534996b9534 | Rounds: 28 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: c134c134c134c134c134c134c134c134 | Rounds: 11 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 46354635463546354635463546354635 | Rounds: 11 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 5e355e355e355e355e355e355e355e35 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 8a378a378a378a378a378a378a378a37 | Rounds: 20 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
