Fixed Point: f0155d06f0155d06f0155d06f0155d06 | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: d9d9b307d9d9b307d9d9b307d9d9b307 | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 08080808080808080808080808080808 | Rounds: 43 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: cf673b08cf673b08cf673b08cf673b08 | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 19918408199184081991840819918408 | Rounds: 36 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 09090909090909090909090909090909 | Rounds: 35 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a | Rounds: 35 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: ed9c530bed9c530bed9c530bed9c530b | Rounds: 36 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 8e755e0b8e755e0b8e755e0b8e755e0b | Rounds: 36 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c | Rounds: 29 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 1aee140e1aee140e1aee140e1aee140e | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f | Rounds: 43 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: d133a70fd133a70fd133a70fd133a70f | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 10101010101010101010101010101010 | Rounds: 35 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 4eaf9e114eaf9e114eaf9e114eaf9e11 | Rounds: 36 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 12121212121212121212121212121212 | Rounds: 35 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: a0511412a0511412a0511412a0511412 | Rounds: 36 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 13131313131313131313131313131313 | Rounds: 35 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 5cd543135cd543135cd543135cd54313 | Rounds: 8 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: d41ff613d41ff613d41ff613d41ff613 | Rounds: 8 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 14141414141414141414141414141414 | Rounds: 35 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 9b4226149b4226149b4226149b422614 | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 12a0511412a0511412a0511412a05114 | Rounds: 36 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 0e1aee140e1aee140e1aee140e1aee14 | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: ad226c15ad226c15ad226c15ad226c15 | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 5d06f0155d06f0155d06f0155d06f015 | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 17171717171717171717171717171717 | Rounds: 29 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 91840819918408199184081991840819 | Rounds: 36 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 19191919191919191919191919191919 | Rounds: 29 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: ee140e1aee140e1aee140e1aee140e1a | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a | Rounds: 43 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 62a5051b62a5051b62a5051b62a5051b | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c | Rounds: 29 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: de73fc1cde73fc1cde73fc1cde73fc1c | Rounds: 36 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d | Rounds: 35 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 8162491d8162491d8162491d8162491d | Rounds: 8 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 9b9dcf1e9b9dcf1e9b9dcf1e9b9dcf1e | Rounds: 36 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: f613d41ff613d41ff613d41ff613d41f | Rounds: 8 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 20202020202020202020202020202020 | Rounds: 35 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 00365f2000365f2000365f2000365f20 | Rounds: 36 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 2fa3b9202fa3b9202fa3b9202fa3b920 | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 21212121212121212121212121212121 | Rounds: 35 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 22222222222222222222222222222222 | Rounds: 29 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 6c15ad226c15ad226c15ad226c15ad22 | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 23232323232323232323232323232323 | Rounds: 35 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 24242424242424242424242424242424 | Rounds: 29 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
Fixed Point: 685d7924685d7924685d7924685d7924 | Rounds: 39 | Key: e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9e9
