Fixed Point: 01010101010101010101010101010101 | Rounds: 18 | Key: 98989898989898989898989898989898
Fixed Point: 8c028c028c028c028c028c028c028c02 | Rounds: 48 | Key: 98989898989898989898989898989898
Fixed Point: a102a102a102a102a102a102a102a102 | Rounds: 48 | Key: 98989898989898989898989898989898
Fixed Point: 30329903303299033032990330329903 | Rounds: 28 | Key: 98989898989898989898989898989898
Fixed Point: 04040404040404040404040404040404 | Rounds: 41 | Key: 98989898989898989898989898989898
Fixed Point: bf04bf04bf04bf04bf04bf04bf04bf04 | Rounds: 9 | Key: 98989898989898989898989898989898
Fixed Point: 05050505050505050505050505050505 | Rounds: 41 | Key: 98989898989898989898989898989898
Fixed Point: 38053805380538053805380538053805 | Rounds: 10 | Key: 98989898989898989898989898989898
Fixed Point: 06060606060606060606060606060606 | Rounds: 18 | Key: 98989898989898989898989898989898
Fixed Point: 08060806080608060806080608060806 | Rounds: 48 | Key: 98989898989898989898989898989898
Fixed Point: 06080608060806080608060806080608 | Rounds: 48 | Key: 98989898989898989898989898989898
Fixed Point: bbb90808bbb90808bbb90808bbb90808 | Rounds: 5 | Key: 98989898989898989898989898989898
Fixed Point: 08bbb90808bbb90808bbb90808bbb908 | Rounds: 5 | Key: 98989898989898989898989898989898
Fixed Point: 910c910c910c910c910c910c910c910c | Rounds: 28 | Key: 98989898989898989898989898989898
Fixed Point: df0cdf0cdf0cdf0cdf0cdf0cdf0cdf0c | Rounds: 28 | Key: 98989898989898989898989898989898
Fixed Point: 0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d | Rounds: 41 | Key: 98989898989898989898989898989898
Fixed Point: b511d80fb511d80fb511d80fb511d80f | Rounds: 28 | Key: 98989898989898989898989898989898
Fixed Point: d80fb511d80fb511d80fb511d80fb511 | Rounds: 28 | Key: 98989898989898989898989898989898
Fixed Point: f011f011f011f011f011f011f011f011 | Rounds: 48 | Key: 98989898989898989898989898989898
Fixed Point: 86493112864931128649311286493112 | Rounds: 12 | Key: 98989898989898989898989898989898
Fixed Point: f9ff3613f9ff3613f9ff3613f9ff3613 | Rounds: 5 | Key: 98989898989898989898989898989898
Fixed Point: 14141414141414141414141414141414 | Rounds: 18 | Key: 98989898989898989898989898989898
Fixed Point: 4c144c144c144c144c144c144c144c14 | Rounds: 28 | Key: 98989898989898989898989898989898
Fixed Point: bbadbe14bbadbe14bbadbe14bbadbe14 | Rounds: 5 | Key: 98989898989898989898989898989898
Fixed Point: 16161616161616161616161616161616 | Rounds: 18 | Key: 98989898989898989898989898989898
Fixed Point: 49164916491649164916491649164916 | Rounds: 48 | Key: 98989898989898989898989898989898
Fixed Point: 17171717171717171717171717171717 | Rounds: 41 | Key: 98989898989898989898989898989898
Fixed Point: 87178717871787178717871787178717 | Rounds: 28 | Key: 98989898989898989898989898989898
