Fixed Point: 99567731995677319956773199567731 | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: 7f6d2c327f6d2c327f6d2c327f6d2c32 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 95004832950048329500483295004832 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: 2e0f4d342e0f4d342e0f4d342e0f4d34 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 91349134913491349134913491349134 | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: f9adad34f9adad34f9adad34f9adad34 | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 42a68d3542a68d3542a68d3542a68d35 | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: f94a3936f94a3936f94a3936f94a3936 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 0f520b380f520b380f520b380f520b38 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 36f94a3936f94a3936f94a3936f94a39 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 2b616a3b2b616a3b2b616a3b2b616a3b | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: fa9a7d3cfa9a7d3cfa9a7d3cfa9a7d3c | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 8068d53f8068d53f8068d53f8068d53f | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: d840d840d840d840d840d840d840d840 | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: 200a1e41200a1e41200a1e41200a1e41 | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: b0686741b0686741b0686741b0686741 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: 4cbc06424cbc06424cbc06424cbc0642 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: a68d3542a68d3542a68d3542a68d3542 | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: d2e19b42d2e19b42d2e19b42d2e19b42 | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 6aaf45436aaf45436aaf45436aaf4543 | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 45d0504445d0504445d0504445d05044 | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: d0504445d0504445d0504445d0504445 | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 436aaf45436aaf45436aaf45436aaf45 | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 2252ca452252ca452252ca452252ca45 | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: 6cfa03466cfa03466cfa03466cfa0346 | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 9f22be469f22be469f22be469f22be46 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 32950048329500483295004832950048 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: 16491649164916491649164916491649 | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: 71497149714971497149714971497149 | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: 10cbf04910cbf04910cbf04910cbf049 | Rounds: 4 | Key: 50505050505050505050505050505050
Fixed Point: 3936f94a3936f94a3936f94a3936f94a | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 87f4034b87f4034b87f4034b87f4034b | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 039c004c039c004c039c004c039c004c | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: bc06424cbc06424cbc06424cbc06424c | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: b811674cb811674cb811674cb811674c | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 2a7dbf4c2a7dbf4c2a7dbf4c2a7dbf4c | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: 342e0f4d342e0f4d342e0f4d342e0f4d | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 749f7c4f749f7c4f749f7c4f749f7c4f | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 4445d0504445d0504445d0504445d050 | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 51515151515151515151515151515151 | Rounds: 16 | Key: 50505050505050505050505050505050
Fixed Point: 0b380f520b380f520b380f520b380f52 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: ca452252ca452252ca452252ca452252 | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: aadd8552aadd8552aadd8552aadd8552 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: e2e5ef52e2e5ef52e2e5ef52e2e5ef52 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: abe2a653abe2a653abe2a653abe2a653 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 30c5f75430c5f75430c5f75430c5f754 | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 77319956773199567731995677319956 | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: f856f856f856f856f856f856f856f856 | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: 6a586a586a586a586a586a586a586a58 | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: d069d859d069d859d069d859d069d859 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: 5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c | Rounds: 16 | Key: 50505050505050505050505050505050
Fixed Point: 79ef905c79ef905c79ef905c79ef905c | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: d50aa15dd50aa15dd50aa15dd50aa15d | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: 875e875e875e875e875e875e875e875e | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: 6a3b2b616a3b2b616a3b2b616a3b2b61 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 00de626100de626100de626100de6261 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 21c1ba6121c1ba6121c1ba6121c1ba61 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: f861f861f861f861f861f861f861f861 | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: 6100de626100de626100de626100de62 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 80776a6380776a6380776a6380776a63 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 66858663668586636685866366858663 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 65656565656565656565656565656565 | Rounds: 16 | Key: 50505050505050505050505050505050
Fixed Point: fddd1566fddd1566fddd1566fddd1566 | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: 85866366858663668586636685866366 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 4cb811674cb811674cb811674cb81167 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 41b0686741b0686741b0686741b06867 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: 9bd1a6679bd1a6679bd1a6679bd1a667 | Rounds: 1 | Key: 50505050505050505050505050505050
Fixed Point: e5e4e067e5e4e067e5e4e067e5e4e067 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 68686868686868686868686868686868 | Rounds: 16 | Key: 50505050505050505050505050505050
Fixed Point: d53f8068d53f8068d53f8068d53f8068 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: 6741b0686741b0686741b0686741b068 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: d859d069d859d069d859d069d859d069 | Rounds: 40 | Key: 50505050505050505050505050505050
Fixed Point: af45436aaf45436aaf45436aaf45436a | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 586a586a586a586a586a586a586a586a | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: 3b2b616a3b2b616a3b2b616a3b2b616a | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 6380776a6380776a6380776a6380776a | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: a09e286ba09e286ba09e286ba09e286b | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: fa03466cfa03466cfa03466cfa03466c | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 1cc0d06c1cc0d06c1cc0d06c1cc0d06c | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 90d4d26c90d4d26c90d4d26c90d4d26c | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 2694e16c2694e16c2694e16c2694e16c | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 2c327f6d2c327f6d2c327f6d2c327f6d | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 04aca86d04aca86d04aca86d04aca86d | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: 757ba96d757ba96d757ba96d757ba96d | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: ec8ad76dec8ad76dec8ad76dec8ad76d | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: e470e470e470e470e470e470e470e470 | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: 49714971497149714971497149714971 | Rounds: 32 | Key: 50505050505050505050505050505050
Fixed Point: 9f7c4f749f7c4f749f7c4f749f7c4f74 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: 7ba96d757ba96d757ba96d757ba96d75 | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: ab08d975ab08d975ab08d975ab08d975 | Rounds: 12 | Key: 50505050505050505050505050505050
Fixed Point: 76767676767676767676767676767676 | Rounds: 16 | Key: 50505050505050505050505050505050
Fixed Point: f9fae876f9fae876f9fae876f9fae876 | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: 31995677319956773199567731995677 | Rounds: 14 | Key: 50505050505050505050505050505050
Fixed Point: 6a6380776a6380776a6380776a638077 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: a927ba77a927ba77a927ba77a927ba77 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: ef905c79ef905c79ef905c79ef905c79 | Rounds: 37 | Key: 50505050505050505050505050505050
Fixed Point: ee2eb679ee2eb679ee2eb679ee2eb679 | Rounds: 37 | Key: 50505050505050505050505050505050
