Fixed Point: 2bfc2d4a2bfc2d4a2bfc2d4a2bfc2d4a | Rounds: 40 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a | Rounds: 43 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c | Rounds: 9 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d | Rounds: 41 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: d44dd44dd44dd44dd44dd44dd44dd44d | Rounds: 47 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 52525252525252525252525252525252 | Rounds: 23 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 53535353535353535353535353535353 | Rounds: 34 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 7e537e537e537e537e537e537e537e53 | Rounds: 47 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 80538053805380538053805380538053 | Rounds: 48 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 27009f5327009f5327009f5327009f53 | Rounds: 27 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 56565656565656565656565656565656 | Rounds: 16 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 3b2659563b2659563b2659563b265956 | Rounds: 48 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 563b2659563b2659563b2659563b2659 | Rounds: 48 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: c35ac35ac35ac35ac35ac35ac35ac35a | Rounds: 41 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 805b805b805b805b805b805b805b805b | Rounds: 2 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 895b895b895b895b895b895b895b895b | Rounds: 7 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: ed5bed5bed5bed5bed5bed5bed5bed5b | Rounds: 47 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 3b5e3b5e3b5e3b5e3b5e3b5e3b5e3b5e | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 6290135f6290135f6290135f6290135f | Rounds: 21 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
