Fixed Point: 3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a | Rounds: 25 | Key: f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
Fixed Point: 5c3a5c3a5c3a5c3a5c3a5c3a5c3a5c3a | Rounds: 15 | Key: f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
Fixed Point: 3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c | Rounds: 33 | Key: f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
Fixed Point: 773c773c773c773c773c773c773c773c | Rounds: 9 | Key: f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
Fixed Point: 483d483d483d483d483d483d483d483d | Rounds: 1 | Key: f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
Fixed Point: 3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f | Rounds: 33 | Key: f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
Fixed Point: 553f553f553f553f553f553f553f553f | Rounds: 26 | Key: f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
Fixed Point: 40404040404040404040404040404040 | Rounds: 33 | Key: f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
Fixed Point: c1e36640c1e36640c1e36640c1e36640 | Rounds: 8 | Key: f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
Fixed Point: e942e942e942e942e942e942e942e942 | Rounds: 15 | Key: f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
Fixed Point: 2c442c442c442c442c442c442c442c44 | Rounds: 26 | Key: f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
Fixed Point: 44444444444444444444444444444444 | Rounds: 5 | Key: f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
Fixed Point: 9b459b459b459b459b459b459b459b45 | Rounds: 9 | Key: f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
Fixed Point: e346e346e346e346e346e346e346e346 | Rounds: 9 | Key: f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
