Fixed Point: 15031503150315031503150315031503 | Rounds: 7 | Key: 40404040404040404040404040404040
Fixed Point: 05050505050505050505050505050505 | Rounds: 26 | Key: 40404040404040404040404040404040
Fixed Point: 59055905590559055905590559055905 | Rounds: 10 | Key: 40404040404040404040404040404040
Fixed Point: af06af06af06af06af06af06af06af06 | Rounds: 7 | Key: 40404040404040404040404040404040
Fixed Point: 07070707070707070707070707070707 | Rounds: 16 | Key: 40404040404040404040404040404040
Fixed Point: 3f073f073f073f073f073f073f073f07 | Rounds: 14 | Key: 40404040404040404040404040404040
Fixed Point: 09090909090909090909090909090909 | Rounds: 26 | Key: 40404040404040404040404040404040
Fixed Point: 92099209920992099209920992099209 | Rounds: 28 | Key: 40404040404040404040404040404040
Fixed Point: a20ba20ba20ba20ba20ba20ba20ba20b | Rounds: 28 | Key: 40404040404040404040404040404040
Fixed Point: 0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c | Rounds: 26 | Key: 40404040404040404040404040404040
Fixed Point: f30df30df30df30df30df30df30df30d | Rounds: 3 | Key: 40404040404040404040404040404040
Fixed Point: 6a0e6a0e6a0e6a0e6a0e6a0e6a0e6a0e | Rounds: 28 | Key: 40404040404040404040404040404040
Fixed Point: 60106010601060106010601060106010 | Rounds: 28 | Key: 40404040404040404040404040404040
Fixed Point: d811d811d811d811d811d811d811d811 | Rounds: 28 | Key: 40404040404040404040404040404040
Fixed Point: 14141414141414141414141414141414 | Rounds: 5 | Key: 40404040404040404040404040404040
Fixed Point: 59145914591459145914591459145914 | Rounds: 10 | Key: 40404040404040404040404040404040
Fixed Point: 03150315031503150315031503150315 | Rounds: 7 | Key: 40404040404040404040404040404040
Fixed Point: 16161616161616161616161616161616 | Rounds: 16 | Key: 40404040404040404040404040404040
Fixed Point: 8f1b8f1b8f1b8f1b8f1b8f1b8f1b8f1b | Rounds: 14 | Key: 40404040404040404040404040404040
Fixed Point: 1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d | Rounds: 26 | Key: 40404040404040404040404040404040
Fixed Point: 1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f1f | Rounds: 26 | Key: 40404040404040404040404040404040
Fixed Point: fc1ffc1ffc1ffc1ffc1ffc1ffc1ffc1f | Rounds: 28 | Key: 40404040404040404040404040404040
Fixed Point: f121f121f121f121f121f121f121f121 | Rounds: 10 | Key: 40404040404040404040404040404040
Fixed Point: 5c225c225c225c225c225c225c225c22 | Rounds: 10 | Key: 40404040404040404040404040404040
Fixed Point: 29292929292929292929292929292929 | Rounds: 26 | Key: 40404040404040404040404040404040
