Fixed Point: e52fe52fe52fe52fe52fe52fe52fe52f | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 31313131313131313131313131313131 | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: 36313631363136313631363136313631 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: c131c131c131c131c131c131c131c131 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 61326132613261326132613261326132 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: e632e632e632e632e632e632e632e632 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 07330733073307330733073307330733 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 31363136313631363136313631363136 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 42394239423942394239423942394239 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 2c158b392c158b392c158b392c158b39 | Rounds: 24 | Key: 48484848484848484848484848484848
Fixed Point: fc39fc39fc39fc39fc39fc39fc39fc39 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: b93bb93bb93bb93bb93bb93bb93bb93b | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d | Rounds: 8 | Key: 48484848484848484848484848484848
Fixed Point: 773d773d773d773d773d773d773d773d | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 823d823d823d823d823d823d823d823d | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: bcaa023ebcaa023ebcaa023ebcaa023e | Rounds: 12 | Key: 48484848484848484848484848484848
Fixed Point: 223e223e223e223e223e223e223e223e | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: 3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f | Rounds: 8 | Key: 48484848484848484848484848484848
Fixed Point: 923f923f923f923f923f923f923f923f | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: b7fdd53fb7fdd53fb7fdd53fb7fdd53f | Rounds: 24 | Key: 48484848484848484848484848484848
Fixed Point: 39423942394239423942394239423942 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: b642b642b642b642b642b642b642b642 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: a845a243a845a243a845a243a845a243 | Rounds: 12 | Key: 48484848484848484848484848484848
Fixed Point: 44444444444444444444444444444444 | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: 1f451f451f451f451f451f451f451f45 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 02be754502be754502be754502be7545 | Rounds: 12 | Key: 48484848484848484848484848484848
Fixed Point: a243a845a243a845a243a845a243a845 | Rounds: 12 | Key: 48484848484848484848484848484848
Fixed Point: 46464646464646464646464646464646 | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: 14471447144714471447144714471447 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 6d486d486d486d486d486d486d486d48 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: b648b648b648b648b648b648b648b648 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 73497349734973497349734973497349 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 254b254b254b254b254b254b254b254b | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 7a4d7a4d7a4d7a4d7a4d7a4d7a4d7a4d | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: db4ddb4ddb4ddb4ddb4ddb4ddb4ddb4d | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e4e | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: 87ffe64e87ffe64e87ffe64e87ffe64e | Rounds: 24 | Key: 48484848484848484848484848484848
Fixed Point: c04fc04fc04fc04fc04fc04fc04fc04f | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: fc4ffc4ffc4ffc4ffc4ffc4ffc4ffc4f | Rounds: 10 | Key: 48484848484848484848484848484848
Fixed Point: 2c502c502c502c502c502c502c502c50 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 0b510b510b510b510b510b510b510b51 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: a052a052a052a052a052a052a052a052 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 53535353535353535353535353535353 | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: 7a537a537a537a537a537a537a537a53 | Rounds: 10 | Key: 48484848484848484848484848484848
Fixed Point: ea55ea55ea55ea55ea55ea55ea55ea55 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: cd56cd56cd56cd56cd56cd56cd56cd56 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: ef56ef56ef56ef56ef56ef56ef56ef56 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: 67576757675767576757675767576757 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: b158b158b158b158b158b158b158b158 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 065c065c065c065c065c065c065c065c | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c | Rounds: 8 | Key: 48484848484848484848484848484848
Fixed Point: f15cf15cf15cf15cf15cf15cf15cf15c | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f | Rounds: 2 | Key: 48484848484848484848484848484848
Fixed Point: 7d5f7d5f7d5f7d5f7d5f7d5f7d5f7d5f | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 6c606c606c606c606c606c606c606c60 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 32613261326132613261326132613261 | Rounds: 26 | Key: 48484848484848484848484848484848
Fixed Point: cf61cf61cf61cf61cf61cf61cf61cf61 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: d861d861d861d861d861d861d861d861 | Rounds: 29 | Key: 48484848484848484848484848484848
Fixed Point: 13d0026213d0026213d0026213d00262 | Rounds: 24 | Key: 48484848484848484848484848484848
Fixed Point: 86638663866386638663866386638663 | Rounds: 22 | Key: 48484848484848484848484848484848
Fixed Point: 65656565656565656565656565656565 | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: 10661066106610661066106610661066 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 6f666f666f666f666f666f666f666f66 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 57675767576757675767576757675767 | Rounds: 38 | Key: 48484848484848484848484848484848
Fixed Point: 67676767676767676767676767676767 | Rounds: 35 | Key: 48484848484848484848484848484848
Fixed Point: b467b467b467b467b467b467b467b467 | Rounds: 26 | Key: 48484848484848484848484848484848
