Fixed Point: 2c242c242c242c242c242c242c242c24 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 33243324332433243324332433243324 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 0a250a250a250a250a250a250a250a25 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 450c4625450c4625450c4625450c4625 | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: 9e6152269e6152269e6152269e615226 | Rounds: 20 | Key: 20202020202020202020202020202020
Fixed Point: eb19c627eb19c627eb19c627eb19c627 | Rounds: 20 | Key: 20202020202020202020202020202020
Fixed Point: 59295929592959295929592959295929 | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: 242c242c242c242c242c242c242c242c | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c | Rounds: 4 | Key: 20202020202020202020202020202020
Fixed Point: ba2cba2cba2cba2cba2cba2cba2cba2c | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: b541e82cb541e82cb541e82cb541e82c | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: 922e922e922e922e922e922e922e922e | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 692f692f692f692f692f692f692f692f | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: c8bee52fc8bee52fc8bee52fc8bee52f | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: f52ff52ff52ff52ff52ff52ff52ff52f | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 0b300b300b300b300b300b300b300b30 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 35313531353135313531353135313531 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 79317931793179317931793179317931 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: c731c731c731c731c731c731c731c731 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 1c321c321c321c321c321c321c321c32 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 82328232823282328232823282328232 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 139ab632139ab632139ab632139ab632 | Rounds: 20 | Key: 20202020202020202020202020202020
Fixed Point: 24332433243324332433243324332433 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: bc506033bc506033bc506033bc506033 | Rounds: 16 | Key: 20202020202020202020202020202020
Fixed Point: 7d347d347d347d347d347d347d347d34 | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: 31353135313531353135313531353135 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: ef9e8535ef9e8535ef9e8535ef9e8535 | Rounds: 16 | Key: 20202020202020202020202020202020
Fixed Point: 46364636463646364636463646364636 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 13805237138052371380523713805237 | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: 59375937593759375937593759375937 | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: 3f383f383f383f383f383f383f383f38 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: cc65ef39cc65ef39cc65ef39cc65ef39 | Rounds: 16 | Key: 20202020202020202020202020202020
Fixed Point: 663b663b663b663b663b663b663b663b | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: c83bc83bc83bc83bc83bc83bc83bc83b | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: ff04473eff04473eff04473eff04473e | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: 013f013f013f013f013f013f013f013f | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: 383f383f383f383f383f383f383f383f | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 7c3f7c3f7c3f7c3f7c3f7c3f7c3f7c3f | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: ab3fab3fab3fab3fab3fab3fab3fab3f | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: d93fd93fd93fd93fd93fd93fd93fd93f | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 12679140126791401267914012679140 | Rounds: 20 | Key: 20202020202020202020202020202020
Fixed Point: 6e17a0406e17a0406e17a0406e17a040 | Rounds: 2 | Key: 20202020202020202020202020202020
Fixed Point: c540c540c540c540c540c540c540c540 | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: 07410741074107410741074107410741 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: ce9d4c41ce9d4c41ce9d4c41ce9d4c41 | Rounds: 16 | Key: 20202020202020202020202020202020
Fixed Point: e82cb541e82cb541e82cb541e82cb541 | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: 6e7b1a426e7b1a426e7b1a426e7b1a42 | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: 9a429a429a429a429a429a429a429a42 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: be42be42be42be42be42be42be42be42 | Rounds: 4 | Key: 20202020202020202020202020202020
Fixed Point: c6cdac43c6cdac43c6cdac43c6cdac43 | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: 9bbb8d449bbb8d449bbb8d449bbb8d44 | Rounds: 20 | Key: 20202020202020202020202020202020
Fixed Point: 14451445144514451445144514451445 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 0c4625450c4625450c4625450c462545 | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: 48807845488078454880784548807845 | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: e345e345e345e345e345e345e345e345 | Rounds: 11 | Key: 20202020202020202020202020202020
Fixed Point: 25450c4625450c4625450c4625450c46 | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: 36463646364636463646364636463646 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 3eff04473eff04473eff04473eff0447 | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: 4e474e474e474e474e474e474e474e47 | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: 64476447644764476447644764476447 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: bd47bd47bd47bd47bd47bd47bd47bd47 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 80784548807845488078454880784548 | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: 9d6b07499d6b07499d6b07499d6b0749 | Rounds: 20 | Key: 20202020202020202020202020202020
Fixed Point: 18491849184918491849184918491849 | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: f3910c4bf3910c4bf3910c4bf3910c4b | Rounds: 16 | Key: 20202020202020202020202020202020
Fixed Point: 174b174b174b174b174b174b174b174b | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: ac99b54bac99b54bac99b54bac99b54b | Rounds: 16 | Key: 20202020202020202020202020202020
Fixed Point: 004c004c004c004c004c004c004c004c | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 904c904c904c904c904c904c904c904c | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 41ce9d4c41ce9d4c41ce9d4c41ce9d4c | Rounds: 16 | Key: 20202020202020202020202020202020
Fixed Point: bc4cbc4cbc4cbc4cbc4cbc4cbc4cbc4c | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: d64cd64cd64cd64cd64cd64cd64cd64c | Rounds: 4 | Key: 20202020202020202020202020202020
Fixed Point: 0a4d0a4d0a4d0a4d0a4d0a4d0a4d0a4d | Rounds: 11 | Key: 20202020202020202020202020202020
Fixed Point: 1d4d1d4d1d4d1d4d1d4d1d4d1d4d1d4d | Rounds: 11 | Key: 20202020202020202020202020202020
Fixed Point: 474e474e474e474e474e474e474e474e | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: aa4eaa4eaa4eaa4eaa4eaa4eaa4eaa4e | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 50505050505050505050505050505050 | Rounds: 11 | Key: 20202020202020202020202020202020
Fixed Point: 6033bc506033bc506033bc506033bc50 | Rounds: 16 | Key: 20202020202020202020202020202020
Fixed Point: 51515151515151515151515151515151 | Rounds: 4 | Key: 20202020202020202020202020202020
Fixed Point: b351b351b351b351b351b351b351b351 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 269e6152269e6152269e6152269e6152 | Rounds: 20 | Key: 20202020202020202020202020202020
Fixed Point: 37138052371380523713805237138052 | Rounds: 40 | Key: 20202020202020202020202020202020
Fixed Point: 0e530e530e530e530e530e530e530e53 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 63536353635363536353635363536353 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: f353f353f353f353f353f353f353f353 | Rounds: 4 | Key: 20202020202020202020202020202020
Fixed Point: d054d054d054d054d054d054d054d054 | Rounds: 11 | Key: 20202020202020202020202020202020
Fixed Point: 23552355235523552355235523552355 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: 7a557a557a557a557a557a557a557a55 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: f155f155f155f155f155f155f155f155 | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: 15561556155615561556155615561556 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: a120ce56a120ce56a120ce56a120ce56 | Rounds: 16 | Key: 20202020202020202020202020202020
Fixed Point: ca57ca57ca57ca57ca57ca57ca57ca57 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 04580458045804580458045804580458 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: ad5a1458ad5a1458ad5a1458ad5a1458 | Rounds: 4 | Key: 20202020202020202020202020202020
Fixed Point: 71587158715871587158715871587158 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 29592959295929592959295929592959 | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: 37593759375937593759375937593759 | Rounds: 26 | Key: 20202020202020202020202020202020
Fixed Point: 59595959595959595959595959595959 | Rounds: 11 | Key: 20202020202020202020202020202020
Fixed Point: a259a259a259a259a259a259a259a259 | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: b959b959b959b959b959b959b959b959 | Rounds: 43 | Key: 20202020202020202020202020202020
Fixed Point: 1458ad5a1458ad5a1458ad5a1458ad5a | Rounds: 4 | Key: 20202020202020202020202020202020
Fixed Point: b25ab25ab25ab25ab25ab25ab25ab25a | Rounds: 23 | Key: 20202020202020202020202020202020
Fixed Point: a25ba25ba25ba25ba25ba25ba25ba25b | Rounds: 23 | Key: 20202020202020202020202020202020
