Fixed Point: 1c4d1c4d1c4d1c4d1c4d1c4d1c4d1c4d | Rounds: 4 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 3be6de4d3be6de4d3be6de4d3be6de4d | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 50505050505050505050505050505050 | Rounds: 17 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 01119450011194500111945001119450 | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 77481c5177481c5177481c5177481c51 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 51515151515151515151515151515151 | Rounds: 17 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 27e2705127e2705127e2705127e27051 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 0f44a3510f44a3510f44a3510f44a351 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: b352b352b352b352b352b352b352b352 | Rounds: 5 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: cbf28754cbf28754cbf28754cbf28754 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a | Rounds: 17 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: f5c00d5cf5c00d5cf5c00d5cf5c00d5c | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 5d713a5d5d713a5d5d713a5d5d713a5d | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 713a5d5d713a5d5d713a5d5d713a5d5d | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 4731b7604731b7604731b7604731b760 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 0f620f620f620f620f620f620f620f62 | Rounds: 5 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 63636363636363636363636363636363 | Rounds: 10 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 9d649d649d649d649d649d649d649d64 | Rounds: 6 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 7f667f667f667f667f667f667f667f66 | Rounds: 5 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 67676767676767676767676767676767 | Rounds: 10 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 69696969696969696969696969696969 | Rounds: 17 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: b16db16db16db16db16db16db16db16d | Rounds: 5 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 27198f7027198f7027198f7027198f70 | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 5127e2705127e2705127e2705127e270 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 3a5d5d713a5d5d713a5d5d713a5d5d71 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 8f35e4718f35e4718f35e4718f35e471 | Rounds: 4 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 481c5177481c5177481c5177481c5177 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 83778377837783778377837783778377 | Rounds: 5 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: bbce2278bbce2278bbce2278bbce2278 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 2687087d2687087d2687087d2687087d | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 98d7127e98d7127e98d7127e98d7127e | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 03b5f27e03b5f27e03b5f27e03b5f27e | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 667f667f667f667f667f667f667f667f | Rounds: 5 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 82828282828282828282828282828282 | Rounds: 10 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 77837783778377837783778377837783 | Rounds: 5 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 087d2687087d2687087d2687087d2687 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 54cbf28754cbf28754cbf28754cbf287 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: a237a98aa237a98aa237a98aa237a98a | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 38f1038c38f1038c38f1038c38f1038c | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 39c8298e39c8298e39c8298e39c8298e | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 7027198f7027198f7027198f7027198f | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 35e4718f35e4718f35e4718f35e4718f | Rounds: 4 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 92929292929292929292929292929292 | Rounds: 17 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 50011194500111945001119450011194 | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 95959595959595959595959595959595 | Rounds: 17 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: c8bdfd96c8bdfd96c8bdfd96c8bdfd96 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: d7127e98d7127e98d7127e98d7127e98 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: d0cb1099d0cb1099d0cb1099d0cb1099 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: ec9aec9aec9aec9aec9aec9aec9aec9a | Rounds: 2 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 649d649d649d649d649d649d649d649d | Rounds: 6 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d | Rounds: 5 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f9f | Rounds: 10 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 37a98aa237a98aa237a98aa237a98aa2 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2 | Rounds: 10 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 510f44a3510f44a3510f44a3510f44a3 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: daa5daa5daa5daa5daa5daa5daa5daa5 | Rounds: 4 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 8aa237a98aa237a98aa237a98aa237a9 | Rounds: 32 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: abababababababababababababababab | Rounds: 10 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: eef73aaceef73aaceef73aaceef73aac | Rounds: 24 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 6db16db16db16db16db16db16db16db1 | Rounds: 5 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
Fixed Point: 52b352b352b352b352b352b352b352b3 | Rounds: 5 | Key: b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8b8
