Fixed Point: 65006500650065006500650065006500 | Rounds: 28 | Key: 38383838383838383838383838383838
Fixed Point: 87777f0187777f0187777f0187777f01 | Rounds: 36 | Key: 38383838383838383838383838383838
Fixed Point: 05040504050405040504050405040504 | Rounds: 29 | Key: 38383838383838383838383838383838
Fixed Point: 85048504850485048504850485048504 | Rounds: 28 | Key: 38383838383838383838383838383838
Fixed Point: e804e804e804e804e804e804e804e804 | Rounds: 29 | Key: 38383838383838383838383838383838
Fixed Point: b5d1ed04b5d1ed04b5d1ed04b5d1ed04 | Rounds: 14 | Key: 38383838383838383838383838383838
Fixed Point: 04050405040504050405040504050405 | Rounds: 29 | Key: 38383838383838383838383838383838
Fixed Point: 05050505050505050505050505050505 | Rounds: 19 | Key: 38383838383838383838383838383838
Fixed Point: 24ee760524ee760524ee760524ee7605 | Rounds: 14 | Key: 38383838383838383838383838383838
Fixed Point: 29072907290729072907290729072907 | Rounds: 28 | Key: 38383838383838383838383838383838
Fixed Point: d13d6607d13d6607d13d6607d13d6607 | Rounds: 14 | Key: 38383838383838383838383838383838
Fixed Point: 08080808080808080808080808080808 | Rounds: 1 | Key: 38383838383838383838383838383838
Fixed Point: 3e083e083e083e083e083e083e083e08 | Rounds: 8 | Key: 38383838383838383838383838383838
Fixed Point: 0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b | Rounds: 10 | Key: 38383838383838383838383838383838
Fixed Point: 695fc60c695fc60c695fc60c695fc60c | Rounds: 14 | Key: 38383838383838383838383838383838
Fixed Point: 0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e | Rounds: 29 | Key: 38383838383838383838383838383838
Fixed Point: f90ef90ef90ef90ef90ef90ef90ef90e | Rounds: 29 | Key: 38383838383838383838383838383838
Fixed Point: 0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f | Rounds: 29 | Key: 38383838383838383838383838383838
Fixed Point: 5556f20f5556f20f5556f20f5556f20f | Rounds: 4 | Key: 38383838383838383838383838383838
Fixed Point: 12121212121212121212121212121212 | Rounds: 29 | Key: 38383838383838383838383838383838
Fixed Point: 13131313131313131313131313131313 | Rounds: 10 | Key: 38383838383838383838383838383838
Fixed Point: 63136313631363136313631363136313 | Rounds: 28 | Key: 38383838383838383838383838383838
Fixed Point: ffdbd813ffdbd813ffdbd813ffdbd813 | Rounds: 14 | Key: 38383838383838383838383838383838
Fixed Point: ea13ea13ea13ea13ea13ea13ea13ea13 | Rounds: 29 | Key: 38383838383838383838383838383838
Fixed Point: 17171717171717171717171717171717 | Rounds: 29 | Key: 38383838383838383838383838383838
Fixed Point: 95179517951795179517951795179517 | Rounds: 8 | Key: 38383838383838383838383838383838
Fixed Point: 18181818181818181818181818181818 | Rounds: 29 | Key: 38383838383838383838383838383838
Fixed Point: 71187118711871187118711871187118 | Rounds: 29 | Key: 38383838383838383838383838383838
Fixed Point: d318d318d318d318d318d318d318d318 | Rounds: 1 | Key: 38383838383838383838383838383838
Fixed Point: 6fe4b5196fe4b5196fe4b5196fe4b519 | Rounds: 36 | Key: 38383838383838383838383838383838
Fixed Point: d719d719d719d719d719d719d719d719 | Rounds: 29 | Key: 38383838383838383838383838383838
Fixed Point: da1ada1ada1ada1ada1ada1ada1ada1a | Rounds: 6 | Key: 38383838383838383838383838383838
