Fixed Point: 44444444444444444444444444444444 | Rounds: 11 | Key: 08080808080808080808080808080808
Fixed Point: 53848f4453848f4453848f4453848f44 | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: 62f2ba4462f2ba4462f2ba4462f2ba44 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 1e3af5451e3af5451e3af5451e3af545 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 3f49fe463f49fe463f49fe463f49fe46 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: ff46ff46ff46ff46ff46ff46ff46ff46 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: cac0ee48cac0ee48cac0ee48cac0ee48 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: fe463f49fe463f49fe463f49fe463f49 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 49494949494949494949494949494949 | Rounds: 5 | Key: 08080808080808080808080808080808
Fixed Point: 52e4684952e4684952e4684952e46849 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: c9b6d54ac9b6d54ac9b6d54ac9b6d54a | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 92cc0e4b92cc0e4b92cc0e4b92cc0e4b | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: 3299304c3299304c3299304c3299304c | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 084d084d084d084d084d084d084d084d | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 87c5a34e87c5a34e87c5a34e87c5a34e | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 200bc94e200bc94e200bc94e200bc94e | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 3960a24f3960a24f3960a24f3960a24f | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 5d515d515d515d515d515d515d515d51 | Rounds: 2 | Key: 08080808080808080808080808080808
Fixed Point: e4684952e4684952e4684952e4684952 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: cd2ea652cd2ea652cd2ea652cd2ea652 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 42602e5342602e5342602e5342602e53 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 848f4453848f4453848f4453848f4453 | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: 0405a1550405a1550405a1550405a155 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: b855b855b855b855b855b855b855b855 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 85568556855685568556855685568556 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: a3840b58a3840b58a3840b58a3840b58 | Rounds: 20 | Key: 08080808080808080808080808080808
Fixed Point: 3704215b3704215b3704215b3704215b | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: e721ba5ce721ba5ce721ba5ce721ba5c | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 515d515d515d515d515d515d515d515d | Rounds: 2 | Key: 08080808080808080808080808080808
Fixed Point: 5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d | Rounds: 11 | Key: 08080808080808080808080808080808
Fixed Point: eef5c35deef5c35deef5c35deef5c35d | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 095f095f095f095f095f095f095f095f | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: cf5fcf5fcf5fcf5fcf5fcf5fcf5fcf5f | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: a24f3960a24f3960a24f3960a24f3960 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 2e5342602e5342602e5342602e534260 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 60606060606060606060606060606060 | Rounds: 12 | Key: 08080808080808080808080808080808
Fixed Point: f2ba4462f2ba4462f2ba4462f2ba4462 | Rounds: 34 | Key: 08080808080808080808080808080808
Fixed Point: 18631863186318631863186318631863 | Rounds: 21 | Key: 08080808080808080808080808080808
Fixed Point: 63636363636363636363636363636363 | Rounds: 3 | Key: 08080808080808080808080808080808
Fixed Point: ef63ef63ef63ef63ef63ef63ef63ef63 | Rounds: 6 | Key: 08080808080808080808080808080808
Fixed Point: 7bda90647bda90647bda90647bda9064 | Rounds: 2 | Key: 08080808080808080808080808080808
Fixed Point: 95659565956595659565956595659565 | Rounds: 21 | Key: 08080808080808080808080808080808
